user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,class,hour_of_day,day_of_week,time_since_signup,user_transaction_count,country
22058,2015-02-24 22:55:49,2015-04-18 02:47:11,34,QVPSPJUOCKZAR,SEO,Chrome,M,39,732758368,0,2,5,1251.8561111111112,1,Japan
333320,2015-06-07 20:39:50,2015-06-08 01:38:54,16,EOGFQPIZPYXFZ,Ads,Chrome,F,53,350311387,0,1,0,4.984444444444445,1,United States
1359,2015-01-01 18:52:44,2015-01-01 18:52:45,15,YSSKYOSJHPPLJ,SEO,Opera,M,53,2621473820,1,18,3,0.0002777777777777,1,United States
150084,2015-04-28 21:13:25,2015-05-04 13:54:50,44,ATGTXKYKUDUQN,SEO,Safari,M,41,3840542443,0,13,0,136.69027777777777,1,Unknown
221365,2015-07-21 07:09:52,2015-09-09 18:40:53,39,NAUITBZFJKHWW,Ads,Safari,M,45,415583117,0,18,2,1211.5169444444443,1,United States
159135,2015-05-21 06:03:03,2015-07-09 08:05:14,42,ALEYXFXINSXLZ,Ads,Chrome,M,18,2809315199,0,8,3,1178.036388888889,1,Canada
50116,2015-08-01 22:40:52,2015-08-27 03:37:57,11,IWKVZHJOCLPUR,Ads,Chrome,F,19,3987484328,0,3,3,604.9513888888889,1,Unknown
360585,2015-04-06 07:35:45,2015-05-25 17:21:14,27,HPUCUYLMJBYFW,Ads,Opera,M,34,1692458727,0,17,0,1185.7580555555555,1,United States
159045,2015-04-21 23:38:34,2015-06-02 14:01:54,30,ILXYDOZIHOOHT,SEO,IE,F,43,3719094257,0,14,1,998.3888888888888,1,China
182338,2015-01-25 17:49:49,2015-03-23 23:05:42,62,NRFFPPHZYFUVC,Ads,IE,M,31,341674739,0,23,0,1373.2647222222222,1,United States
199700,2015-07-11 18:26:54,2015-10-28 21:59:40,13,TEPSJVVXGNTYR,Ads,Safari,F,35,1819008577,0,21,2,2619.5461111111117,1,United States
73884,2015-05-29 16:22:02,2015-06-16 05:45:58,58,ZTZZJUCRDOCJZ,Direct,Chrome,M,32,4038284553,0,5,1,421.3988888888889,1,Unknown
79203,2015-06-16 21:19:35,2015-06-21 03:29:59,18,IBPNKSMCKUZWD,SEO,Safari,M,33,4161540926,0,3,6,102.17333333333332,1,Unknown
299320,2015-03-03 19:17:07,2015-04-05 12:32:36,50,RMKQNVEWGTWPC,Direct,Safari,M,38,3178510014,0,12,6,785.2580555555555,1,Brazil
82931,2015-02-16 02:50:30,2015-04-16 00:56:47,15,XKIFNYUZMBWFU,SEO,IE,M,24,4203487753,0,0,3,1414.1047222222223,1,Unknown
31383,2015-02-01 01:06:17,2015-03-24 10:17:58,58,UNUAVQXNWFBMO,SEO,Safari,F,24,995732779,0,10,1,1233.1947222222225,1,India
78986,2015-05-15 03:52:08,2015-08-11 02:29:47,57,TGHVAWBMZRDHH,SEO,FireFox,M,23,3503883391,0,2,1,2110.6275,1,United States
119824,2015-03-20 00:31:27,2015-04-05 07:31:46,55,WFIIFCPIOGMHT,Ads,Safari,M,38,131423,0,7,6,391.0052777777778,1,Unknown
357386,2015-02-03 00:48:38,2015-03-24 18:27:23,40,NWSVDOHYIOBDR,Ads,FireFox,M,24,3037372279,0,18,1,1193.6458333333333,1,Argentina
289172,2015-07-17 05:48:45,2015-11-12 22:08:11,46,KFZGQIWDIRLZB,Direct,FireFox,F,53,1044590097,0,22,3,2848.323888888889,1,United Kingdom
154699,2015-07-08 15:35:44,2015-07-20 00:11:52,24,TYZPZLEWNJJRI,Direct,FireFox,F,23,3847612074,0,0,0,272.6022222222222,1,Unknown
316355,2015-08-08 20:05:50,2015-10-03 02:21:46,47,IHGECNGZGQOAZ,SEO,Chrome,M,28,3836794299,0,2,5,1326.2655555555557,1,Unknown
343378,2015-01-30 08:50:29,2015-04-22 15:11:45,47,VOMVNRHNBLLMI,SEO,Chrome,F,24,1008390841,0,15,2,1974.3544444444444,1,China
370338,2015-01-08 11:47:29,2015-03-29 20:46:44,25,QLMZBEDPYFUXT,Ads,IE,M,34,3442657972,0,20,6,1928.9875,1,United States
171711,2015-01-11 01:51:15,2015-01-11 01:51:16,52,YPLQGKBAAULUV,Direct,IE,F,35,1120619335,1,1,6,0.0002777777777777,1,United States
59780,2015-01-04 22:32:33,2015-01-16 01:13:43,31,WUMOBGUCBOXPO,SEO,FireFox,M,36,1752166823,1,1,4,266.6861111111112,1,United States
176129,2015-01-28 12:53:51,2015-01-29 23:21:43,37,XUNJIVTRXCRZL,Ads,IE,M,32,745823926,0,23,3,34.464444444444446,1,United States
100886,2015-07-12 14:14:04,2015-07-29 07:41:26,54,GIREUSMFWWUZJ,SEO,Chrome,F,28,1799140970,0,7,2,401.4561111111111,1,United States
221257,2015-05-29 17:55:17,2015-09-05 22:42:38,12,LGFXOENGXOBXI,SEO,IE,M,19,698700037,0,22,5,2380.7891666666665,1,South Africa
151705,2015-01-07 03:44:53,2015-01-07 03:44:54,48,URHCRIXOMLJMH,SEO,Chrome,F,27,2836025220,1,3,2,0.0002777777777777,1,United States
399610,2015-04-03 20:06:51,2015-06-01 07:42:42,30,CLTWKVSGDCFRD,SEO,FireFox,F,39,287463049,0,7,0,1403.5975,1,United States
396746,2015-08-05 23:50:35,2015-08-14 12:08:55,56,JUWCOHMHRBDCL,SEO,IE,M,56,2937613755,0,12,4,204.30555555555557,1,China
243817,2015-02-13 18:16:05,2015-04-23 17:44:27,72,YIIEFBZUGEXNR,Direct,Chrome,F,32,2521870760,0,17,3,1655.4727777777778,1,Japan
262245,2015-01-03 03:29:05,2015-02-26 23:23:55,38,YAQQIDVLQRBLL,Ads,IE,F,21,2803457086,0,23,3,1315.9138888888888,1,United States
256743,2015-06-12 19:11:32,2015-07-11 06:42:08,33,VVZIVFUBISCEV,SEO,IE,M,22,2260745438,0,6,5,683.51,1,United States
306604,2015-02-09 13:01:40,2015-02-22 06:55:32,53,REPNWECRCGXIS,SEO,IE,M,39,1418160722,0,6,6,305.8977777777778,1,Germany
4435,2015-01-31 01:18:43,2015-04-14 09:33:26,27,MJLRKEEEZARII,Ads,Opera,M,35,301185167,0,9,1,1760.2452777777778,1,United States
174879,2015-08-12 20:24:19,2015-09-09 03:39:58,56,ONLMVTYBMQQWN,Ads,FireFox,M,30,2871721776,0,3,2,655.2608333333334,1,China
192353,2015-04-25 12:52:46,2015-07-29 12:50:42,27,RPHZDFAXPVJTK,SEO,Chrome,M,57,3071734454,0,12,2,2279.9655555555555,1,China
134152,2015-05-25 00:37:29,2015-06-23 14:29:17,52,CDJIUJQMWXHWX,Ads,IE,M,30,2132402323,0,14,1,709.8633333333333,1,Unknown
81113,2015-08-16 12:56:45,2015-08-24 05:00:54,52,BKQVBSSFGETUQ,Direct,Chrome,F,44,3682311659,0,5,0,184.06916666666663,1,Japan
107312,2015-03-19 23:56:21,2015-03-21 03:39:38,62,OUUHDCKIYEXLM,Ads,Chrome,M,36,3959167319,0,3,5,27.72138888888889,1,Unknown
55002,2015-06-09 00:32:53,2015-09-17 13:45:43,35,QLHWTRKJZWMAW,SEO,FireFox,M,19,3184464830,0,13,3,2413.213888888889,1,Mexico
250432,2015-02-19 12:31:25,2015-03-03 12:00:20,25,BWTRKTCCGCMMR,Ads,IE,M,40,303778372,0,12,1,287.4819444444444,1,United States
132826,2015-07-25 10:41:51,2015-08-26 05:40:36,18,UOSPQFPVALJAX,SEO,FireFox,F,35,3364603497,0,5,2,762.9791666666666,1,Brazil
313833,2015-08-16 20:48:52,2015-11-17 09:43:11,12,GDATAKTYQUGWR,Ads,IE,M,55,569038405,0,9,1,2220.905277777778,1,United States
300818,2015-01-24 05:56:03,2015-03-21 18:44:25,60,UIMMNPECDIHFV,Ads,FireFox,M,23,3429491019,0,18,5,1356.806111111111,1,United States
262864,2015-05-03 08:12:33,2015-06-01 08:41:48,91,LYTLRYTPUANEC,Ads,Chrome,F,24,3580176911,0,8,0,696.4875,1,Sweden
89475,2015-05-17 04:21:24,2015-09-09 09:55:46,37,XZXUYCZIRRECT,Ads,FireFox,M,37,3923631938,0,9,2,2765.572777777778,1,Unknown
305751,2015-06-22 19:30:06,2015-10-19 12:52:12,26,TRGSXNEBCCGME,Direct,Chrome,F,23,3555140234,0,12,0,2849.3683333333333,1,Korea Republic of
254562,2015-05-12 18:58:01,2015-07-31 11:36:16,75,VYSNKKTTQIXQC,Ads,FireFox,F,45,2977122407,0,11,4,1912.6375,1,Brazil
247815,2015-02-13 10:28:34,2015-04-04 18:08:43,27,BZJKAWMGZHVDI,SEO,Safari,F,44,3195352718,0,18,5,1207.6691666666666,1,Peru
192767,2015-01-08 12:17:12,2015-04-28 02:09:42,15,ZTORJKTDMYTJH,Ads,Safari,M,32,2568639629,0,2,1,2629.875,1,United States
310147,2015-07-06 05:45:48,2015-07-22 04:19:25,54,GAPQDLEFDZYCO,Ads,Safari,F,20,2626780561,0,4,2,382.5602777777778,1,United States
339348,2015-07-10 08:29:46,2015-10-13 12:34:12,35,RFKAOQAIQDQSL,Ads,Safari,M,38,775036641,0,12,1,2284.073888888889,1,Portugal
394644,2015-02-09 11:04:46,2015-04-08 06:38:16,51,DOTXRQKMYPZCG,SEO,Chrome,F,48,3064167004,0,6,2,1387.5583333333334,1,Bangladesh
30729,2015-01-16 06:15:54,2015-04-12 10:16:40,81,YDRJUNHYWJMMG,Ads,Safari,M,25,3543681271,0,10,6,2068.012777777778,1,Korea Republic of
233374,2015-07-04 14:10:15,2015-07-16 10:55:12,33,VSWWOJLJPLUNZ,SEO,Chrome,F,25,2961640224,0,10,3,284.74916666666667,1,France
366068,2015-05-14 04:54:06,2015-07-11 03:24:56,69,JQYCFABXAMQVP,Direct,Chrome,M,31,3463946532,0,3,5,1390.513888888889,1,United States
345865,2015-02-01 05:59:23,2015-02-20 08:09:10,36,FKQPZUELCRKBL,SEO,IE,M,30,2740589787,1,8,4,458.1630555555556,1,France
324683,2015-01-18 02:51:59,2015-04-19 22:24:33,27,JFVSIORUJBMXS,Ads,IE,M,28,4228027812,1,22,6,2203.5427777777777,1,Unknown
221091,2015-02-20 18:29:06,2015-05-03 11:33:18,44,XKARVFXNUGHGH,Direct,Chrome,F,46,1990595542,0,11,6,1721.07,1,Taiwan; Republic of China (ROC)
222633,2015-04-18 14:33:58,2015-06-03 00:43:46,10,CYULQPBDHLIBY,SEO,FireFox,M,41,1438733276,0,0,2,1090.1633333333334,1,Russian Federation
336190,2015-01-05 21:07:24,2015-03-15 00:43:18,14,ECDEOLUBPCUAI,Ads,IE,M,35,4006899916,1,0,6,1635.5983333333334,1,Unknown
181004,2015-01-07 17:45:16,2015-01-07 17:45:17,10,WETYPHOQVLWMK,Ads,FireFox,M,36,2293332681,1,17,2,0.0002777777777777,1,United States
